"title","content","author","url","attachments","tags","authorAvatarURL"
"repỏ êpỏpẻopẻo","@repo dep trai thi vkl","CODY#7382","https://discord.com/channels/708367190780543048/832244041810575371/840857769426944000","","Game thủ, Interaction Design",""
"SỦA CLG","lồn mẹ chúng mày","Boost nhầm server#8383","https://discord.com/channels/708367190780543048/832244041810575371/840858555392720926","","Graphic Design, Art, Game thủ, Interaction Design",""
"sao nhi","@find lồn mẹ chúng mày","CODY#7382","https://discord.com/channels/708367190780543048/832244041810575371/840858648728567818","","Graphic Design, Art, Game thủ",""
"m124m124m12 4b12u4","","Lean#2992","https://discord.com/channels/708367190780543048/832244041810575371/840859187768328223","","Graphic Design, Game thủ",""
"ngu loz","","Lean#2992","https://discord.com/channels/708367190780543048/832244041810575371/840859481562808330","","Graphic Design, Art, Game thủ",""
"nhu nay ong a","","Lean#2992","https://discord.com/channels/708367190780543048/832244041810575371/840859773175463956","","Graphic Design, Art, Game thủ",""
"cai loz","","Lean#2992","https://discord.com/channels/708367190780543048/832244041810575371/840860303406661662","","Graphic Design, Art, Game thủ, Interaction Design",""
"1241j24","@repo thu","CODY#7382","https://discord.com/channels/708367190780543048/832244041810575371/840860721993482261","","Graphic Design, Art",""
"ơ ready","message.author.displayAvatarURL()","Lean#2992","https://discord.com/channels/708367190780543048/832244041810575371/840861610360176700","","Graphic Design, Art, Game thủ",""
"bo may deo sai ok","@alo","CODY#7382","https://discord.com/channels/708367190780543048/832244041810575371/840862793225076776","","Art, Graphic Design",""
"lam lai tu day","@repo bo may deo sai ok","CODY#7382","https://discord.com/channels/708367190780543048/832244041810575371/840862950869041154","","Art, Graphic Design, Interaction Design","https://cdn.discordapp.com/avatars/246314424753848320/eaa04087cbad4ed212263c782e1dbf8c.webp"
"nè","=))","morphine 🎲#9575","https://discord.com/channels/537516790658367498/832561266308546592/840921173297987614","","","https://cdn.discordapp.com/embed/avatars/0.png"
